setTag,title,authors,datePublished,language,journalName
COVID-19,Novel coronavirus (COVID-19): Leveraging telemedicine to optimize care while minimizing exposures and viral transmission.,"Chauhan, Vivek. Galwankar, Sagar. Arquilla, Bonnie. Garg, Manish. Somma, Salvatore. El-Menyar, Ayman. Krishnan, Vimal. Gerber, Joel. Holland, Reuben. Stawicki, Stanislaw",2020-01-01,English,"Journal of Emergencies, Trauma & Shock"
COVID-19,Winning together: Novel coronavirus (COVID-19) infographic.,"Stawicki, Stanislaw. Galwankar, Sagar",2020-01-01,English,"Journal of Emergencies, Trauma & Shock"
COVID-19,Fear of the novel coronavirus.,"Kelvin, David J.. Rubino, Salvatore",2020-01-01,English,Journal of Infection in Developing Countries
COVID-19,"2019-nCoV (Wuhan virus), a novel Coronavirus: human-to-human transmission, travel-related cases, and vaccine readiness.","Ralph, Robyn. Lew, Jocelyne. Tiansheng Zeng. Francis, Magie. Bei Xue. Roux, Melissa. Ostadgavahi, Ali Toloue. Rubino, Salvatore. Dawe, Nicholas J.. Al-Ahdal, Mohammed N.. Kelvin, David J.. Richardson, Christopher D.. Kindrachuk, Jason. Falzarano, Darryl. Kelvin, Alyson A.",2020-01-01,English,Journal of Infection in Developing Countries
COVID-19,HOW TO DEAL COVID-19 IN RADIOLOGY?,"uz Zaman, Maseeh. Fatima, Nosheen. Zaman, Areeba. Zaman, Unaiza. Zaman, Sidra",2020-01-01,English,Pakistan Journal of Radiology
COVID-19,Coronavirus 2019-nCoV: un nuevo actor que pone en alerta a la comunidad mundial.,,2020-01-01,Spanish,Revista de Enfermedades Infecciosas en Pediatria
COVID-19,La Pandemia del COVID-19.,"Cuero, César",2020-01-01,Spanish,Revista Medica de Panama
COVID-19,Recomendaciones mínimas de Bioseguridad para Instalaciones de salud trabajando con muestras de SARS-CoV-2 Desarrollado por la Organización Mundial de la Salud.,,2020-01-01,Spanish,Revista Medica de Panama
COVID-19,Recomendaciones mínimas de Bioseguridad para instalaciones de salud ante Pandemia de SARS-CoV-2 Desarrollado por la Organización Mundial de la Salud.,,2020-01-01,Spanish,Revista Medica de Panama
COVID-19,Medidas Mínimas de Bioseguridad en instalaciones de salud durante la Pandemia del SARS-CoV-2.,"Méndez-Ríos, Jorge D.",2020-01-01,Spanish,Revista Medica de Panama
COVID-19,Everything We Know About the 2019-nCoV Coronavirus.,,2020-01-01,English,RT: The Journal for Respiratory Care Practitioners
COVID-19,"Maps, masks and media – Traveller and practitioner resources for 2019 novel coronavirus (2019-nCoV) acute respiratory virus.","Chiodini, Jane",2020-01-01,English,Travel Medicine & Infectious Disease
COVID-19,The association between domestic train transportation and novel coronavirus (2019-nCoV) outbreak in China from 2019 to 2020: A data-driven correlational report.,"Zhao, Shi. Zhuang, Zian. Ran, Jinjun. Lin, Jiaer. Yang, Guangpu. Yang, Lin. He, Daihai",2020-01-01,English,Travel Medicine & Infectious Disease
COVID-19,"The next big threat to global health? 2019 novel coronavirus (2019-nCoV): What advice can we give to travellers? – Interim recommendations January 2020, from the Latin-American society for Travel Medicine (SLAMVI).","Biscayart, Cristian. Angeleri, Patricia. Lloveras, Susana. Chaves, Tânia do Socorro Souza. Schlagenhauf, Patricia. Rodríguez-Morales, Alfonso J.",2020-01-01,English,Travel Medicine & Infectious Disease
COVID-19,"What goes on board aircraft? Passengers include Aedes, Anopheles, 2019-nCoV, dengue, Salmonella, Zika, et al.","Wilson, Mary E.",2020-01-01,English,Travel Medicine & Infectious Disease
COVID-19,Human Coronaviruses and Other Respiratory Viruses: Underestimated Opportunistic Pathogens of the Central Nervous System?,"Desforges, Marc. Le Coupanec, Alain. Dubeau, Philippe. Bourgouin, Andréanne. Lajoie, Louise. Dubé, Mathieu. Talbot, Pierre J.",2020-01-01,English,Viruses (1999-4915)
COVID-19,Return of the Coronavirus: 2019-nCoV.,Gralinski LE. Menachery VD,2020-01-24,English,Viruses
COVID-19,Genomic characterization of the 2019 novel human-pathogenic coronavirus isolated from a patient with atypical pneumonia after visiting Wuhan.,Chan JF. Kok KH. Zhu Z. Chu H. To KK. Yuan S. Yuen KY,2020-01-28,English,Emerging microbes & infections
COVID-19,Wuhan: Britons to be evacuated as scientists estimate 44 000 cases of 2019-nCOV in the city.,Parry J,2020-01-29,English,BMJ (Clinical research ed.)
COVID-19,"Therapeutic strategies in an outbreak scenario to treat the novel coronavirus originating in Wuhan, China.",Kruse RL,2020-01-31,English,F1000Research
COVID-19,2019-nCoV: The Identify-Isolate-Inform (3I) Tool Applied to a Novel Emerging Coronavirus.,Koenig KL. Beÿ CK. McDonald EC,2020-01-31,English,The western journal of emergency medicine
COVID-19,New coronavirus threat galvanizes scientists.,"Cohen, Jon",2020-01-31,English,Science
COVID-19,Chinese expert consensus on the perinatal and neonatal management for the prevention and control of the 2019 novel coronavirus infection (First edition).,Wang L. Shi Y. Xiao T. Fu J. Feng X. Mu D. Feng Q. Hei M. Hu X. Li Z. Lu G. Tang Z. Wang Y. Wang C. Xia S. Xu J. Yang Y. Yang J. Zeng M. Zheng J. Zhou W. Zhou X. Zhou X. Du L. Lee SK. Zhou W,2020-02-01,English,Annals of translational medicine
COVID-19,Early estimation of the case fatality rate of COVID-19 in mainland China: a data-driven analysis.,Yang S. Cao P. Du P. Wu Z. Zhuang Z. Yang L. Yu X. Zhou Q. Feng X. Wang X. Li W. Liu E. Chen J. Chen Y. He D,2020-02-01,English,Annals of translational medicine
COVID-19,The role of CT for Covid-19 patient's management remains poorly defined.,Wang YXJ. Liu WH. Yang M. Chen W,2020-02-01,English,Annals of translational medicine
COVID-19,Clinical analysis of 10 neonates born to mothers with 2019-nCoV pneumonia.,Zhu H. Wang L. Fang C. Peng S. Zhang L. Chang G. Xia S. Zhou W,2020-02-01,English,Translational pediatrics
COVID-19,Estimating the Unreported Number of Novel Coronavirus (2019-nCoV) Cases in China in the First Half of January 2020: A Data-Driven Modelling Analysis of the Early Outbreak.,Zhao S. Musa SS. Lin Q. Ran J. Yang G. Wang W. Lou Y. Yang L. Gao D. He D. Wang MH,2020-02-01,English,Journal of clinical medicine
COVID-19,CT imaging of two cases of one family cluster 2019 novel coronavirus (2019-nCoV) pneumonia: inconsistency between clinical symptoms amelioration and imaging sign progression.,Hu X. Chen J. Jiang X. Tao S. Zhen Z. Zhou C. Wang J,2020-02-01,English,Quantitative imaging in medicine and surgery
COVID-19,Identification of Coronavirus Isolated from a Patient in Korea with COVID-19.,Kim JM. Chung YS. Jo HJ. Lee NJ. Kim MS. Woo SH. Park S. Kim JW. Kim HM. Han MG,2020-02-01,English,Osong public health and research perspectives
COVID-19,Early Epidemiological and Clinical Characteristics of 28 Cases of Coronavirus Disease in South Korea.,,2020-02-01,English,Osong public health and research perspectives
COVID-19,Contact Transmission of COVID-19 in South Korea: Novel Investigation Techniques for Tracing Contacts.,,2020-02-01,English,Osong public health and research perspectives
COVID-19,Preliminary prediction of the basic reproduction number of the Wuhan novel coronavirus 2019-nCoV.,Zhou T. Liu Q. Yang Z. Liao J. Yang K. Bai W. Lu X. Zhang W,2020-02-01,English,Journal of evidence-based medicine
COVID-19,A Novel Approach of Consultation on 2019 Novel Coronavirus (COVID-19)-Related Psychological and Mental Problems: Structured Letter Therapy.,Xiao C,2020-02-01,English,Psychiatry investigation
COVID-19,[Perinatal and neonatal management plan for prevention and control of 2019 novel coronavirus infection (1st Edition)].,,2020-02-01,Chinese,Zhongguo dang dai er ke za zhi = Chinese journal of contemporary pediatrics
COVID-19,[Emergency response plan for the neonatal intensive care unit during epidemic of 2019 novel coronavirus].,,2020-02-01,Chinese,Zhongguo dang dai er ke za zhi = Chinese journal of contemporary pediatrics
COVID-19,[Recommendation for the diagnosis and treatment of novel coronavirus infection in children in Hubei (Trial version 1)].,,2020-02-01,Chinese,Zhongguo dang dai er ke za zhi = Chinese journal of contemporary pediatrics
COVID-19,COVID-19 (Novel Coronavirus 2019) - recent trends.,Kannan S. Shaik Syed Ali P. Sheeza A. Hemalatha K,2020-02-01,English,European review for medical and pharmacological sciences
COVID-19,"Novel coronavirus 2019-nCoV: prevalence, biological and clinical characteristics comparison with SARS-CoV and MERS-CoV.",Meo SA. Alhowikan AM. Al-Khlaiwi T. Meo IM. Halepoto DM. Iqbal M. Usmani AM. Hajjar W. Ahmed N,2020-02-01,English,European review for medical and pharmacological sciences
COVID-19,"Incubation period of 2019 novel coronavirus (2019-nCoV) infections among travellers from Wuhan, China, 20-28 January 2020.",Backer JA. Klinkenberg D. Wallinga J,2020-02-01,English,Euro surveillance : bulletin Europeen sur les maladies transmissibles = European communicable disease bulletin
COVID-19,Note from the editors: World Health Organization declares novel coronavirus (2019-nCoV) sixth public health emergency of international concern.,Eurosurveillance Editorial Team,2020-02-01,English,Euro surveillance : bulletin Europeen sur les maladies transmissibles = European communicable disease bulletin
COVID-19,Effectiveness of airport screening at detecting travellers infected with novel coronavirus (2019-nCoV).,Quilty BJ. Clifford S. Flasche S. Eggo RM,2020-02-01,English,Euro surveillance : bulletin Europeen sur les maladies transmissibles = European communicable disease bulletin
COVID-19,"First cases of coronavirus disease 2019 (COVID-19) in France: surveillance, investigations and control measures, January 2020.",Bernard Stoecklin S. Rolland P. Silue Y. Mailles A. Campese C. Simondon A. Mechain M. Meurice L. Nguyen M. Bassi C. Yamani E. Behillil S. Ismael S. Nguyen D. Malvy D. Lescure FX. Georges S. Lazarus C. Tabaï A. Stempfelet M. Enouf V. Coignard B. Levy-Bruhl D. Investigation Team,2020-02-01,English,Euro surveillance : bulletin Europeen sur les maladies transmissibles = European communicable disease bulletin
COVID-19,Epidemiological research priorities for public health control of the ongoing global novel coronavirus (2019-nCoV) outbreak.,Cowling BJ. Leung GM,2020-02-01,English,Euro surveillance : bulletin Europeen sur les maladies transmissibles = European communicable disease bulletin
COVID-19,Latest updates on COVID-19 from the European Centre for Disease Prevention and Control.,Eurosurveillance Editorial Team,2020-02-01,English,Euro surveillance : bulletin Europeen sur les maladies transmissibles = European communicable disease bulletin
COVID-19,"Laboratory readiness and response for novel coronavirus (2019-nCoV) in expert laboratories in 30 EU/EEA countries, January 2020.",Reusken CBEM. Broberg EK. Haagmans B. Meijer A. Corman VM. Papa A. Charrel R. Drosten C. Koopmans M. Leitmeyer K. On Behalf Of Evd-LabNet And Erli-Net,2020-02-01,English,Euro surveillance : bulletin Europeen sur les maladies transmissibles = European communicable disease bulletin
COVID-19,"Differential diagnosis of illness in patients under investigation for the novel coronavirus (SARS-CoV-2), Italy, February 2020.",Bordi L. Nicastri E. Scorzolini L. Di Caro A. Capobianchi MR. Castilletti C. Lalle E. On Behalf Of Inmi Covid-Study Group And Collaborating Centers,2020-02-01,English,Euro surveillance : bulletin Europeen sur les maladies transmissibles = European communicable disease bulletin
COVID-19,Letter to the editor: Plenty of coronaviruses but no SARS-CoV-2.,Colson P. La Scola B. Esteves-Vieira V. Ninove L. Zandotti C. Jimeno MT. Gazin C. Bedotto M. Filosa V. Giraud-Gatineau A. Chaudet H. Brouqui P. Lagier JC. Raoult D,2020-02-01,English,Euro surveillance : bulletin Europeen sur les maladies transmissibles = European communicable disease bulletin
COVID-19,Latest assessment on COVID-19 from the European Centre for Disease Prevention and Control (ECDC).,Eurosurveillance Editorial Team,2020-02-01,English,Euro surveillance : bulletin Europeen sur les maladies transmissibles = European communicable disease bulletin
COVID-19,"Early transmission patterns of coronavirus disease 2019 (COVID-19) in travellers from Wuhan to Thailand, January 2020.",Okada P. Buathong R. Phuygun S. Thanadachakul T. Parnmen S. Wongboot W. Waicharoen S. Wacharapluesadee S. Uttayamakul S. Vachiraphan A. Chittaganpitch M. Mekha N. Janejai N. Iamsirithaworn S. Lee RT. Maurer-Stroh S,2020-02-01,English,Euro surveillance : bulletin Europeen sur les maladies transmissibles = European communicable disease bulletin
COVID-19,Authors' response: Plenty of coronaviruses but no SARS-CoV-2.,Reusken CB. Haagmans B. Meijer A. Corman VM. Papa A. Charrel R. Drosten C. Koopmans M,2020-02-01,English,Euro surveillance : bulletin Europeen sur les maladies transmissibles = European communicable disease bulletin
COVID-19,Outbreak of COVID-19 - an urgent need for good science to silence our fears?,Lum LHW. Tambyah PA,2020-02-01,English,Singapore medical journal
COVID-19,Offline: 2019-nCoV outbreak-early lessons.,Horton R,2020-02-01,English,"Lancet (London, England)"
COVID-19,Oxygen in critically ill patients: It is time to look at the other face of Janus.,"Garnier, Marc. Fasquel, Charlotte. Salaün, Jean-Philippe. Quesnel, Christophe",2020-02-01,English,Anaesthesia Critical Care & Pain Medicine
COVID-19,Rigidity of the Outer Shell Predicted by a Protein Intrinsic Disorder Model Sheds Light on the COVID-19 (Wuhan-2019-nCoV) Infectivity.,"Goh, Gerard Kian-Meng. Dunker, A. Keith. Foster, James A.. Uversky, Vladimir N.",2020-02-01,English,Biomolecules (2218-273X)
COVID-19,COVID-19: Real-time dissemination of scientific information to fight a public health emergency of international concern.,Peipei Song. Takashi Karako,2020-02-01,English,BioScience Trends
COVID-19,Challenges to the system of reserve medical supplies for public health emergencies: reflections on the outbreak of the severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) epidemic in China.,Xu Wang. Xiaoxi Zhang. Jiangjiang He,2020-02-01,English,BioScience Trends
COVID-19,Clinical characteristics and therapeutic procedure for four cases with 2019 novel coronavirus pneumonia receiving combined Chinese and Western medicine treatment.,Zhenwei Wang. Xiaorong Chen. Yunfei Lu. Feifei Chen. Wei Zhang,2020-02-01,English,BioScience Trends
COVID-19,Drug treatment options for the 2019-new coronavirus (2019- nCoV).,Hongzhou Lu,2020-02-01,English,BioScience Trends
COVID-19,Breakthrough: Chloroquine phosphate has shown apparent efficacy in treatment of COVID-19 associated pneumonia in clinical studies.,Jianjun Gao. Zhenxue Tian. Xu Yang,2020-02-01,English,BioScience Trends
COVID-19,New coronavirus.,,2020-02-01,English,Bulletin of the World Health Organization
COVID-19,The third coronavirus epidemic in the third millennium: what's next?,"Čivljak, Rok. Markotić, Alemka. Kuzman, Ilija",2020-02-01,English,Croatian Medical Journal
COVID-19,Discovering drugs to treat coronavirus disease 2019 (COVID-19).,Liying Dong. Shasha Hu. Jianjun Gao,2020-02-01,English,Drug Discoveries & Therapeutics
COVID-19,Coronavirus Disease 2019 outbreak: preparedness and readiness of countries in the Eastern Mediterranean Region.,"Al-Mandhari, Ahmed. Samhouri, Dalia. Abubakar, Abdinasir. Brennan, Richard",2020-02-01,English,Eastern Mediterranean Health Journal
COVID-19,Middle East Respiratory Syndrome Coronavirus Transmission.,"Killerby, Marie E.. Biggs, Holly M.. Midgley, Claire M.. Gerber, Susan I.. Watson, John T.",2020-02-01,English,Emerging Infectious Diseases
COVID-19,Veiled Dangers in an Idyllic Setting.,"Breedlove, Byron",2020-02-01,English,Emerging Infectious Diseases
COVID-19,"Studying COVID-19 in light of critical approaches to risk and uncertainty: research pathways, conceptual tools, and some magic from Mary Douglas.","Brown, Patrick",2020-02-01,English,"Health, Risk & Society"
COVID-19,Challenging Covid-19.,"Rao, Nagaraj N.",2020-02-01,English,Indian Drugs
COVID-19,Critical care management of adults with community-acquired severe respiratory viral infection.,"Arabi, Yaseen M.. Fowler, Robert. Hayden, Frederick G.",2020-02-01,English,Intensive Care Medicine
COVID-19,"Novel coronavirus infection during the 2019-2020 epidemic: preparing intensive care units-the experience in Sichuan Province, China.","Liao, Xuelian. Wang, Bo. Kang, Yan",2020-02-01,English,Intensive Care Medicine
COVID-19,"The continuing 2019-nCoV epidemic threat of novel coronaviruses to global health — The latest 2019 novel coronavirus outbreak in Wuhan, China.","Hui, David S.. I Azhar, Esam. Madani, Tariq A.. Ntoumi, Francine. Kock, Richard. Dar, Osman. Ippolito, Giuseppe. Mchugh, Timothy D.. Memish, Ziad A.. Drosten, Christian. Zumla, Alimuddin. Petersen, Eskild",2020-02-01,English,International Journal of Infectious Diseases
COVID-19,"The Extent of Transmission of Novel Coronavirus in Wuhan, China, 2020.","Nishiura, Hiroshi. Jung, Sung-mok. Linton, Natalie M.. Kinoshita, Ryo. Yang, Yichi. Hayashi, Katsuma. Kobayashi, Tetsuro. Yuan, Baoyin. Akhmetzhanov, Andrei R.",2020-02-01,English,Journal of Clinical Medicine
COVID-19,The Rate of Underascertainment of Novel Coronavirus (2019-nCoV) Infection: Estimation Using Japanese Passengers Data on Evacuation Flights.,"Nishiura, Hiroshi. Kobayashi, Tetsuro. Yang, Yichi. Hayashi, Katsuma. Miyama, Takeshi. Kinoshita, Ryo. Linton, Natalie M.. Jung, Sung-mok. Yuan, Baoyin. Suzuki, Ayako. Akhmetzhanov, Andrei R.",2020-02-01,English,Journal of Clinical Medicine
COVID-19,Estimation of the Transmission Risk of the 2019-nCoV and Its Implication for Public Health Interventions.,"Tang, Biao. Wang, Xia. Li, Qian. Bragazzi, Nicola Luigi. Tang, Sanyi. Xiao, Yanni. Wu, Jianhong",2020-02-01,English,Journal of Clinical Medicine
COVID-19,"Initial Cluster of Novel Coronavirus (2019-nCoV) Infections in Wuhan, China Is Consistent with Substantial Human-to-Human Transmission.","Nishiura, Hiroshi. Linton, Natalie M.. Akhmetzhanov, Andrei R.",2020-02-01,English,Journal of Clinical Medicine
COVID-19,"Novel Coronavirus Outbreak in Wuhan, China, 2020: Intense Surveillance Is Vital for Preventing Sustained Transmission in New Locations.","Thompson, Robin N.",2020-02-01,English,Journal of Clinical Medicine
COVID-19,Real-Time Estimation of the Risk of Death from Novel Coronavirus (COVID-19) Infection: Inference Using Exported Cases.,"Jung, Sung-mok. Akhmetzhanov, Andrei R.. Hayashi, Katsuma. Linton, Natalie M.. Yang, Yichi. Yuan, Baoyin. Kobayashi, Tetsuro. Kinoshita, Ryo. Nishiura, Hiroshi",2020-02-01,English,Journal of Clinical Medicine
COVID-19,Incubation Period and Other Epidemiological Characteristics of 2019 Novel Coronavirus Infections with Right Truncation: A Statistical Analysis of Publicly Available Case Data.,"Linton, Natalie M.. Kobayashi, Tetsuro. Yang, Yichi. Hayashi, Katsuma. Akhmetzhanov, Andrei R.. Jung, Sung-mok. Yuan, Baoyin. Kinoshita, Ryo. Nishiura, Hiroshi",2020-02-01,English,Journal of Clinical Medicine
COVID-19,Risk Assessment of Novel Coronavirus COVID-19 Outbreaks Outside China.,"Boldog, Péter. Tekeli, Tamás. Vizi, Zsolt. Dénes, Attila. Bartha, Ferenc A.. Röst, Gergely",2020-02-01,English,Journal of Clinical Medicine
COVID-19,Characteristics of and Public Health Responses to the Coronavirus Disease 2019 Outbreak in China.,"Deng, Sheng-Qun. Peng, Hong-Juan",2020-02-01,English,Journal of Clinical Medicine
COVID-19,Communicating the Risk of Death from Novel Coronavirus Disease (COVID-19).,"Kobayashi, Tetsuro. Jung, Sung-mok. Linton, Natalie M.. Kinoshita, Ryo. Hayashi, Katsuma. Miyama, Takeshi. Anzai, Asami. Yang, Yichi. Yuan, Baoyin. Akhmetzhanov, Andrei R.. Suzuki, Ayako. Nishiura, Hiroshi",2020-02-01,English,Journal of Clinical Medicine
COVID-19,"Short-term Forecasts of the COVID-19 Epidemic in Guangdong and Zhejiang, China: February 13–23, 2020.","Roosa, Kimberlyn. Lee, Yiseul. Luo, Ruiyan. Kirpich, Alexander. Rothenberg, Richard. Hyman, James M.. Yan, Ping. Chowell, Gerardo",2020-02-01,English,Journal of Clinical Medicine
COVID-19,Assessing the Impact of Reduced Travel on Exportation Dynamics of Novel Coronavirus Infection (COVID-19).,"Anzai, Asami. Kobayashi, Tetsuro. Linton, Natalie M.. Kinoshita, Ryo. Hayashi, Katsuma. Suzuki, Ayako. Yang, Yichi. Jung, Sung-mok. Miyama, Takeshi. Akhmetzhanov, Andrei R.. Nishiura, Hiroshi",2020-02-01,English,Journal of Clinical Medicine
COVID-19,Similarity in Case Fatality Rates (CFR) of COVID-19/SARS-COV-2 in Italy and China.,"Porcheddu, Rossella. Serra, Caterina. Kelvin, David. Kelvin, Nikki. Rubino, Salvatore",2020-02-01,English,Journal of Infection in Developing Countries
COVID-19,"Murine Coronavirus Infection Activates the Aryl Hydrocarbon Receptor in an Indoleamine 2,3-Dioxygenase-Independent Manner, Contributing to Cytokine Modulation and Proviral TCDD-Inducible-PARP Expression.","Grunewald, Matthew E.. Shaban, Mohamed G.. Mackin, Samantha R.. Fehr, Anthony R.. Perlman, Stanley",2020-02-01,English,Journal of Virology
COVID-19,Confronting the persisting threat of the Middle East respiratory syndrome to global health security.,"Perlman, Stanley. Azhar, Esam I. Memish, Ziad A. Hui, David S. Zumla, Alimuddin",2020-02-01,English,Lancet Infectious Diseases
COVID-19,"Very fast evolution, not-so-fast publication—a proposed solution.","Wu, Chung-I. Poo, Mu-ming",2020-02-01,English,National Science Review
